,AD1_AD2,AD3_AD4,AD5_AD6,Ct1_Ct2,Ct3_Ct4,Ct5_Ct6
SRSF4,0.03125,0.2170212765957447,0.0851063829787234,0.12650602409638553,0.18874560375146543,0.10294117647058823
MECR,0.0,0.0425531914893617,0.03546099290780142,0.030120481927710843,0.032825322391559206,0.020588235294117647
PTPRU,0.03125,0.00425531914893617,0.014184397163120567,0.0,0.004689331770222743,0.0014705882352941176
LAPTM5,0.010416666666666666,0.0,0.0070921985815602835,0.0,0.004689331770222743,0.008823529411764706
SDC3,0.10416666666666667,0.03829787234042553,0.0851063829787234,0.04216867469879518,0.08792497069167643,0.05588235294117647
PUM1,0.15625,0.23829787234042554,0.14893617021276595,0.08433734939759036,0.21570926143024619,0.18529411764705883
NKAIN1,0.041666666666666664,0.01702127659574468,0.0,0.0,0.012895662368112544,0.010294117647058823
SNRNP40,0.041666666666666664,0.029787234042553193,0.0,0.03614457831325301,0.04572098475967175,0.047058823529411764
ZCCHC17,0.0625,0.05531914893617021,0.03546099290780142,0.03614457831325301,0.06096131301289566,0.06764705882352941
FABP3,0.010416666666666666,0.00425531914893617,0.0,0.006024096385542169,0.010550996483001172,0.0029411764705882353
PEF1,0.03125,0.01702127659574468,0.014184397163120567,0.03614457831325301,0.0246189917936694,0.011764705882352941
COL16A1,0.53125,0.34893617021276596,0.20567375886524822,0.27710843373493976,0.4126611957796014,0.4176470588235294
ADGRB2,0.15625,0.05531914893617021,0.03546099290780142,0.018072289156626505,0.038686987104337635,0.06470588235294118
KHDRBS1,0.07291666666666667,0.15319148936170213,0.0425531914893617,0.08433734939759036,0.11723329425556858,0.061764705882352944
TMEM39B,0.0625,0.01276595744680851,0.0070921985815602835,0.024096385542168676,0.035169988276670575,0.01764705882352941
KPNA6,0.08333333333333333,0.1276595744680851,0.09219858156028368,0.060240963855421686,0.08792497069167643,0.08970588235294118
TXLNA,0.17708333333333334,0.02553191489361702,0.0425531914893617,0.012048192771084338,0.02813599062133646,0.029411764705882353
CCDC28B,0.041666666666666664,0.02127659574468085,0.014184397163120567,0.018072289156626505,0.029308323563892145,0.020588235294117647
EIF3I,0.03125,0.01702127659574468,0.028368794326241134,0.030120481927710843,0.04220398593200469,0.04411764705882353
HDAC1,0.07291666666666667,0.09787234042553192,0.07092198581560284,0.09036144578313253,0.06213364595545135,0.09558823529411764
MARCKSL1,0.20833333333333334,0.10212765957446808,0.10638297872340426,0.24096385542168675,0.20164126611957797,0.16176470588235295
BSDC1,0.0625,0.08085106382978724,0.02127659574468085,0.0783132530120482,0.059788980070339975,0.060294117647058824
ZBTB8OS,0.052083333333333336,0.17872340425531916,0.09219858156028368,0.05421686746987952,0.14419695193434937,0.07794117647058824
RBBP4,0.09375,0.09787234042553192,0.07801418439716312,0.07228915662650602,0.10668229777256741,0.09117647058823529
SYNC,0.03125,0.10638297872340426,0.014184397163120567,0.05421686746987952,0.059788980070339975,0.058823529411764705
YARS,0.11458333333333333,0.15319148936170213,0.1702127659574468,0.04216867469879518,0.07151230949589683,0.039705882352941174
S100PBP,0.041666666666666664,0.13617021276595745,0.04964539007092199,0.05421686746987952,0.10902696365767878,0.07058823529411765
HPCA,0.0,0.00425531914893617,0.0,0.0,0.007033997655334115,0.0029411764705882353
RNF19B,0.5416666666666666,0.2851063829787234,0.18439716312056736,0.16265060240963855,0.18522860492379836,0.13088235294117648
AK2,0.07291666666666667,0.059574468085106386,0.05673758865248227,0.030120481927710843,0.06213364595545135,0.03823529411764706
AZIN2,0.020833333333333332,0.02553191489361702,0.014184397163120567,0.04819277108433735,0.053927315357561546,0.030882352941176472
TRIM62,0.041666666666666664,0.03829787234042553,0.0070921985815602835,0.012048192771084338,0.017584994138335287,0.010294117647058823
ZNF362,0.041666666666666664,0.03404255319148936,0.014184397163120567,0.024096385542168676,0.041031652989449004,0.03676470588235294
PHC2,0.10416666666666667,0.05106382978723404,0.0851063829787234,0.05421686746987952,0.06565064478311841,0.07352941176470588
CSMD2,0.020833333333333332,0.02127659574468085,0.028368794326241134,0.018072289156626505,0.05509964830011723,0.022058823529411766
SMIM12,0.125,0.08936170212765958,0.03546099290780142,0.024096385542168676,0.05861664712778429,0.03676470588235294
DLGAP3,0.010416666666666666,0.0,0.0,0.006024096385542169,0.005861664712778429,0.0014705882352941176
SFPQ,0.23958333333333334,0.32340425531914896,0.1773049645390071,0.1686746987951807,0.3094958968347011,0.31470588235294117
ZMYM4,0.17708333333333334,0.16170212765957448,0.12056737588652482,0.19879518072289157,0.24384525205158264,0.18382352941176472
KIAA0319L,0.13541666666666666,0.26382978723404255,0.09219858156028368,0.1746987951807229,0.2555685814771395,0.21029411764705883
